,applecentroids =,,
,,,
,  7×2 table,,
mixed_fruit1,,,
Fruit,Size,Centroid Row,Centroid Column
Apple 1,343,93.606,143.41
Apple 2,333,131.74,48.249
Apple 3,229,196.72,208.47
Apple 4,444,247.12,185.58
Apple 5,334,332.69,217.9
Apple 6,308,447.26,60.357
Apple 7,239,478.68,65.126
Orange 1,620,65.103,143.95
Orange 2,637,274.32,188.8
Orange 3,640,281.81,233.02
Orange 4,441,378.13,53.515
Orange 5,1201,427.18,201.16
Orange 6,565,567.79,180.3
Banana 1,633,161.14,218.95
Banana 2,540,231.82,53.931
Banana 3,617,274.73,56.19
Banana 4,566,388.96,244.03
Banana 5,911,496.5,278.42
Banana 6,498,601.47,188.07
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
mixed_fruit2,,,
Fruit,Size,Centroid Row,Centroid Column
Apple 1,1892,161.1,369.41
Apple 2,1847,267.57,319.07
Apple 3,1030,285.61,43.923
Apple 4,1993,325.67,406.96
Apple 5,1485,486.39,94.601
Apple 6,2888,576.87,428.07
Orange 1,1902,59.955,93.38
Orange 2,1723,236.37,33.285
Orange 3,3066,269.62,416.04
Orange 4,2691,389.18,413.86
Orange 5,2950,513.78,418.2
Orange 6,2427,587.18,269.31
Banana 1,2572,72.874,388.83
Banana 2,2729,65.215,178.33
Banana 3,2592,198.09,290.1
Banana 4,2806,343.99,290.9
Banana 5,2693,468.28,175.49
Banana 6,2478,562.84,320.63
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
mixed_fruit3,,,
Fruit,Size,Centroid Row,Centroid Column
Apple 1,5691,36.995,299.33
Apple 2,5613,148.33,420.09
Apple 3,3825,163.29,287.97
Apple 4,3962,185.75,175.45
Apple 5,6255,345.2,381.05
Apple 6,2488,462.27,176.03
Apple 7,2796,471.88,305.62
Apple 8,4576,543.56,384.09
Orange 1,5518,52.355,167.25
Orange 2,2182,138.43,210.75
Orange 3,6070,189.63,360.48
Orange 4,5147,281.45,180.09
Orange 5,4376,303.94,319.94
Orange 6,5229,426.98,246.75
Orange 7,6005,454.81,364.66
Banana 1,5513,101.81,230.15
Banana 2,4949,257.61,241.35
Banana 3,4069,249.08,96.583
Banana 4,5492,388.99,160.12
Banana 5,4835,492.11,63.312
Banana 6,6630,571.59,237.24
